sample,mismatch
Testing_1,0
Testing_2,0
Testing_3,0
Testing_4,1
Testing_5,0
Testing_6,1
Testing_7,1
Testing_8,1
Testing_9,0
Testing_10,0
Testing_11,1
Testing_12,1
Testing_13,0
Testing_14,0
Testing_15,0
Testing_16,0
Testing_17,0
Testing_18,1
Testing_19,0
Testing_20,0
Testing_21,0
Testing_22,1
Testing_23,0
Testing_24,1
Testing_25,1
Testing_26,1
Testing_27,0
Testing_28,1
Testing_29,0
Testing_30,1
Testing_31,1
Testing_32,0
Testing_33,1
Testing_34,0
Testing_35,0
Testing_36,1
Testing_37,1
Testing_38,1
Testing_39,0
Testing_40,0
Testing_41,0
Testing_42,0
Testing_43,1
Testing_44,1
Testing_45,0
Testing_46,1
Testing_47,0
Testing_48,1
Testing_49,1
Testing_50,1
Testing_51,0
Testing_52,1
Testing_53,1
Testing_54,1
Testing_55,0
Testing_56,0
Testing_57,0
Testing_58,1
Testing_59,0
Testing_60,1
Testing_61,1
Testing_62,0
Testing_63,1
Testing_64,0
Testing_65,1
Testing_66,0
Testing_67,0
Testing_68,1
Testing_69,0
Testing_70,1
Testing_71,1
Testing_72,1
Testing_73,0
Testing_74,1
Testing_75,0
Testing_76,0
Testing_77,0
Testing_78,0
Testing_79,1
Testing_80,1
